Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
murça,s,5.21,2.49,4.53,7.29,6.56,703.00
mureta,s,5.71,2.58,5.27,7.06,6.46,637.00
muriçoca,s,4.07,2.64,4.15,7.16,4.70,110.00
murraça,s,4.39,2.60,4.33,7.78,2.08,8.00
musa,s,4.57,3.20,4.63,5.73,8.76,6350.00
musculação,s,4.93,3.91,5.08,6.30,7.38,1603.00
musculatura,s,4.44,3.29,4.20,6.73,7.55,1907.00
museologia,s,4.11,2.85,4.12,7.82,6.40,602.00
música,s,4.63,5.25,5.27,3.85,12.68,322588.00
musicologia,s,4.00,2.54,3.93,9.27,6.28,536.00
musicoterapia,s,4.52,2.95,4.54,8.89,5.02,152.00
musse,s,5.45,2.95,4.89,6.26,5.06,157.00
musselina,s,5.20,2.68,4.62,8.16,4.62,101.00
mutação,s,3.72,3.47,3.71,8.34,8.71,6049.00
mutreta,s,4.57,2.80,4.53,7.47,3.81,45.00
mutualidade,s,4.00,2.55,3.73,8.02,5.08,161.00
mutuca,s,5.19,2.18,4.68,8.13,4.86,129.00
muvuca,s,4.30,2.75,3.89,6.95,5.54,255.00
nação,s,4.12,4.18,4.55,6.22,10.58,39470.00
nacionalidade,s,4.11,4.11,3.76,6.77,9.94,20688.00
nadadeira,s,5.07,2.38,4.38,5.63,6.03,414.00
nádega,s,5.24,3.31,4.70,7.46,5.48,239.00
nafta,s,4.56,2.76,4.19,6.86,7.92,2752.00
naftalina,s,5.23,3.26,5.02,6.03,5.33,206.00
náiade,s,4.55,1.97,4.20,7.70,4.58,98.00
naja,s,5.29,2.21,4.82,7.52,5.63,280.00
namorada,s,5.50,4.88,5.64,3.92,10.29,29401.00
napa,s,5.81,2.70,5.17,6.89,6.14,466.00
narceja,s,4.54,2.23,4.20,6.99,4.11,61.00
narcolepsia,s,4.46,2.71,4.28,6.71,5.21,183.00
narcose,s,4.03,2.36,3.82,7.96,4.38,80.00
narina,s,5.22,3.13,4.83,6.81,5.37,215.00
narração,s,3.86,3.89,3.94,6.33,8.67,5829.00
narrativa,s,3.34,3.81,3.86,7.13,9.65,15511.00
nascença,s,4.52,3.75,4.30,4.74,7.59,1988.00
nascida,s,5.31,3.77,5.33,5.43,9.87,19254.00
nata,s,5.09,3.99,4.96,6.71,8.01,3005.00
natação,s,5.22,4.16,5.53,5.42,9.32,11123.00
natalidade,s,3.94,3.20,3.54,6.63,8.31,4049.00
natividade,s,4.56,3.00,4.53,4.66,7.68,2160.00
naturalidade,s,4.63,4.11,4.45,7.31,9.18,9671.00
natureza,s,2.69,5.12,3.45,5.68,11.75,126165.00
natureza-morta,s,4.84,2.62,4.70,6.55,5.36,213.00
náusea,s,4.27,3.68,4.33,5.92,7.04,1139.00
navalha,s,6.58,3.63,5.86,6.17,7.54,1877.00
navalhada,s,4.66,2.93,4.62,7.43,4.70,110.00
nave,s,5.81,3.42,5.65,4.71,10.22,27329.00
navegação,s,4.22,4.08,4.43,6.15,10.16,25947.00
naveta,s,5.04,2.24,4.47,7.98,4.47,87.00
neblina,s,5.04,3.74,5.26,6.04,8.08,3237.00
nebulização,s,5.17,2.69,4.99,8.24,5.60,271.00
nebulosidade,s,3.58,3.57,3.72,7.40,7.10,1213.00
necedade,s,4.29,2.74,4.26,7.39,2.64,14.00
necessidade,s,3.28,5.46,3.17,6.16,12.08,176206.00
necrofilia,s,4.10,2.88,4.31,6.99,5.05,156.00
necrofobia,s,4.14,2.72,4.13,7.37,2.30,10.00
necrologia,s,4.23,2.70,4.08,7.81,4.13,62.00
necromancia,s,4.12,2.81,4.30,8.16,4.74,114.00
necrópole,s,4.42,1.91,4.07,8.21,7.15,1270.00
necrópsia,s,5.44,2.62,5.20,7.46,5.42,225.00
necrose,s,4.20,2.22,3.71,6.03,7.03,1133.00
nefrectomia,s,4.63,2.87,4.57,7.47,2.83,17.00
nefrite,s,5.13,2.06,4.63,6.55,4.74,115.00
nefrologia,s,5.36,2.42,4.75,7.70,5.95,383.00
nefropatia,s,4.00,2.42,3.75,7.99,4.52,92.00
negaça,s,3.96,2.64,3.98,8.08,3.14,23.00
negação,s,2.60,3.72,2.85,8.04,8.64,5645.00
negligência,s,2.42,3.96,2.97,8.10,8.80,6662.00
negociação,s,3.77,4.71,3.74,7.08,10.79,48703.00
negociata,s,3.34,2.81,3.64,8.11,5.55,258.00
negra,s,5.38,4.13,5.79,4.48,10.53,37538.00
negridão,s,4.29,2.69,4.24,6.94,3.09,22.00
negritude,s,3.79,2.55,4.13,8.96,6.12,457.00
negrura,s,4.07,2.45,4.01,8.36,4.30,74.00
nênia,s,4.19,2.58,4.30,7.83,3.61,37.00
neoplasia,s,3.53,2.33,3.12,7.90,6.07,434.00
nereida,s,4.93,2.02,4.48,7.94,5.28,197.00
nervura,s,4.17,2.91,3.81,8.22,5.41,224.00
nesga,s,4.51,2.65,4.64,7.33,5.62,277.00
nêspera,s,4.87,2.90,4.75,6.77,4.26,71.00
nespereira,s,5.53,2.18,4.68,7.01,5.48,240.00
neuralgia,s,4.05,2.45,3.98,8.14,4.22,68.00
neurastenia,s,3.98,2.42,4.04,8.28,4.26,71.00
neurite,s,4.21,2.53,3.99,7.96,3.95,52.00
neurocirurgia,s,4.91,3.22,4.61,5.90,6.55,700.00
neurologia,s,4.85,2.84,4.65,7.44,7.32,1506.00
neuropatia,s,3.37,2.47,3.50,8.60,5.66,286.00
neuropatologia,s,4.18,2.57,3.96,8.54,3.78,44.00
neurose,s,4.10,3.07,4.14,5.91,6.30,545.00
nevasca,s,4.75,2.82,4.72,6.31,6.63,756.00
neve,s,6.00,4.60,6.20,2.51,10.00,22051.00
névoa,s,4.82,3.91,5.28,4.95,7.82,2487.00
nevralgia,s,4.42,2.49,4.09,8.67,4.53,93.00
nevrose,s,3.56,2.58,3.63,8.14,4.54,94.00
nica,s,4.62,2.31,4.27,6.81,5.16,174.00
nicotina,s,4.26,3.45,4.32,7.02,7.43,1679.00
ninfa,s,4.70,2.58,4.77,6.22,7.33,1522.00
ninfomania,s,3.66,2.51,3.79,7.83,3.85,47.00
ninhada,s,5.46,3.16,5.01,4.93,6.90,990.00
ninharia,s,4.01,3.30,3.81,6.47,5.71,301.00
nigromancia,s,4.54,2.66,4.37,7.58,2.56,13.00
nitrila,s,4.31,2.74,4.13,7.18,3.66,39.00
nitroglicerina,s,5.09,3.13,4.58,7.64,5.95,384.00
nobiliarquia,s,3.36,2.21,3.26,9.46,4.49,89.00
nobreza,s,3.50,3.53,3.79,6.83,9.44,12572.00
noção,s,2.37,4.99,2.98,7.34,10.15,25719.00
nogueira,s,5.11,3.84,4.63,5.48,10.17,26171.00
noitada,s,4.30,3.38,4.70,7.62,6.17,476.00
noite,s,4.64,5.51,5.19,2.14,12.90,401788.00
noitinha,s,4.61,3.14,4.29,6.96,5.33,206.00
nomeada,s,4.23,3.37,4.17,8.44,9.44,12598.00
nominata,s,4.16,2.72,4.14,8.04,3.33,28.00
nonada,s,4.36,2.73,4.35,7.82,2.83,17.00
nora,s,5.73,3.18,5.50,5.64,8.59,5363.00
norma,s,4.08,3.95,3.82,7.12,10.29,29320.00
nortada,s,4.06,2.76,4.36,7.27,4.74,115.00
nosofobia,s,4.53,2.68,4.47,7.41,2.08,8.00
nosologia,s,4.30,2.60,4.19,7.56,2.71,15.00
nostalgia,s,2.63,3.86,3.70,6.99,8.25,3809.00
nota,s,4.72,5.58,4.43,5.13,11.97,158728.00
notação,s,3.77,3.41,3.54,7.05,9.08,8779.00
notícia,s,3.75,5.29,4.20,4.96,11.04,62330.00
notinha,s,4.61,3.18,4.48,7.02,4.32,75.00
notoriedade,s,3.33,3.86,3.97,8.15,8.81,6675.00
nova,s,4.41,4.78,4.72,4.77,13.37,638397.00
novação,s,4.16,2.31,3.81,8.96,5.00,149.00
novela,s,4.04,4.25,4.67,4.61,10.65,42138.00
novena,s,3.84,2.85,4.25,6.78,6.54,691.00
novidade,s,3.41,5.12,3.71,5.43,10.42,33531.00
noz-moscada,s,5.62,2.79,4.70,5.78,5.69,295.00
noz-vômica,s,4.39,2.79,4.30,7.94,2.20,9.00
nuança,s,4.31,2.74,4.32,7.90,3.00,20.00
nuca,s,6.50,3.88,5.80,5.31,7.87,2615.00
nudez,s,3.59,3.51,4.29,6.71,8.17,3516.00
nugá,s,4.56,2.66,4.44,7.37,2.40,11.00
nulidade,s,3.05,2.55,2.98,7.13,7.96,2860.00
numeração,s,4.51,3.35,3.73,8.08,8.87,7131.00
numerologia,s,4.11,2.94,4.32,7.93,5.46,234.00
numismática,s,4.91,2.53,4.10,7.29,6.41,609.00
nunciatura,s,5.34,2.88,4.88,6.99,5.92,373.00
núpcias,s,5.01,2.93,4.91,6.51,7.80,2446.00
nutação,s,4.05,2.58,3.99,7.72,4.04,57.00
nutrição,s,4.43,4.15,4.46,7.12,8.55,5185.00
nutriz,s,4.15,2.56,4.14,7.66,2.83,17.00
nutrologia,s,4.66,2.77,4.45,7.24,3.61,37.00
nuvem,s,5.04,4.28,5.42,5.45,9.19,9809.00
objeção,s,2.85,3.37,2.94,7.82,7.32,1504.00
objetiva,s,2.37,3.92,2.68,6.52,8.67,5852.00
oblação,s,3.92,2.39,4.06,6.71,4.49,89.00
obra,s,4.08,4.50,4.17,6.93,12.22,203619.00
obra-prima,s,3.59,2.98,3.86,6.68,8.42,4525.00
obrigação,s,2.93,5.05,3.06,6.63,10.77,47489.00
observação,s,3.68,5.00,3.79,5.43,10.45,34516.00
observância,s,2.75,3.46,2.82,7.92,8.95,7737.00
obsessão,s,3.09,4.31,3.86,7.26,8.62,5552.00
obstetrícia,s,5.48,3.22,5.14,6.75,7.15,1272.00
obstinação,s,2.97,3.30,3.22,8.51,6.83,928.00
obstrução,s,3.46,3.37,3.23,8.15,8.36,4269.00
oca,s,5.06,2.89,4.75,6.80,7.52,1844.00
ocara,s,4.87,2.48,4.34,7.43,4.92,137.00
ocarina,s,4.39,2.14,4.12,7.93,5.90,366.00
ocasião,s,4.35,4.72,4.11,5.96,11.23,75119.00
oceanografia,s,4.83,2.40,4.59,8.53,6.87,967.00
oclusão,s,4.30,3.01,3.97,7.90,5.94,381.00
ocorrência,s,4.15,4.34,4.00,6.30,10.51,36690.00
ocupação,s,3.35,4.33,3.65,6.81,10.58,39483.00
odalisca,s,4.44,2.73,4.54,7.27,4.92,137.00
ode,s,4.19,2.92,4.63,6.06,7.36,1568.00
odisséia,s,3.95,2.93,4.22,7.32,6.30,546.00
odontologia,s,4.81,3.19,4.52,7.35,8.12,3364.00
ofensa,s,2.78,4.01,3.61,6.03,8.40,4457.00
ofensiva,s,3.39,3.65,3.91,6.96,10.07,23649.00
oferenda,s,4.41,2.87,4.50,6.46,6.75,854.00
oferta,s,4.04,5.18,4.12,5.28,11.01,60562.00
oficialidade,s,3.37,2.38,3.41,9.59,5.78,325.00
oficina,s,5.65,4.35,5.43,4.93,9.56,14244.00
oftalmia,s,4.28,2.59,4.19,7.69,3.18,24.00
oftalmologia,s,5.12,2.72,4.72,6.98,6.84,931.00
ogiva,s,4.94,2.02,4.11,7.64,7.06,1161.00
oitava,s,4.47,3.94,4.44,6.20,9.63,15184.00
oiticica,s,5.32,2.51,4.75,7.08,6.93,1019.00
oitiva,s,4.07,2.19,3.89,7.48,6.73,841.00
ojeriza,s,2.91,2.92,3.19,7.56,5.09,163.00
ola,s,4.82,2.95,4.53,6.55,7.18,1317.00
olaria,s,5.67,2.62,5.03,6.04,7.82,2496.00
oleicultura,s,4.42,2.52,4.16,7.73,3.47,32.00
olhada,s,4.55,4.50,4.49,4.89,9.44,12576.00
olheiras,s,4.71,3.36,4.72,6.35,6.15,470.00
oligarquia,s,3.82,2.75,3.93,7.29,7.37,1593.00
oligofrenia,s,3.43,2.80,3.51,7.20,4.03,56.00
oligúria,s,4.26,2.54,4.00,7.87,3.43,31.00
olimpíada,s,4.45,3.96,4.58,6.98,9.38,11847.00
oliva,s,5.60,3.44,4.94,6.11,7.86,2583.00
oliveira,s,5.37,3.96,4.72,4.19,11.68,118447.00
ombreira,s,5.22,2.79,4.76,6.01,5.26,193.00
omissão,s,3.08,3.86,3.08,6.76,9.08,8761.00
omoplata,s,6.00,2.77,5.15,5.97,5.12,167.00
onça-pintada,s,5.25,2.09,4.60,7.50,6.63,754.00
oncologia,s,5.20,3.02,4.90,6.60,7.61,2017.00
onda,s,4.43,4.55,4.90,5.76,10.47,35250.00
onomatopéia,s,3.99,2.51,3.93,8.29,4.16,64.00
ontologia,s,3.19,2.86,3.45,7.94,6.37,584.00
onze-horas,s,4.53,2.64,4.45,7.62,2.64,14.00
opa,s,4.43,3.88,4.31,4.82,8.87,7122.00
opacidade,s,3.46,2.83,3.56,7.69,6.88,972.00
opala,s,5.05,2.40,4.78,6.21,6.68,794.00
opalina,s,4.18,1.67,3.80,9.98,4.16,64.00
opção,s,3.71,5.47,3.63,5.54,11.18,71650.00
ópera,s,5.11,3.52,5.16,6.60,10.20,26986.00
ópera-bufa,s,4.43,2.43,4.22,7.50,3.95,52.00
operação,s,4.51,4.58,4.62,4.94,12.03,168188.00
ópera-cômica,s,4.28,2.49,4.27,8.41,3.18,24.00
opereta,s,4.61,2.71,4.64,7.84,6.80,897.00
opinião,s,3.50,5.41,3.52,6.18,11.83,137353.00
oportunidade,s,3.67,5.50,3.99,5.05,11.70,120223.00
oposição,s,3.36,4.28,3.37,6.46,11.50,98369.00
opressão,s,2.59,3.27,3.33,7.43,8.41,4484.00
opulência,s,3.08,3.07,3.79,7.64,6.71,824.00
oração,s,3.75,4.34,4.25,5.92,9.41,12238.00
oratória,s,3.39,3.05,3.69,7.64,7.32,1514.00
órbita,s,4.86,3.58,4.83,7.28,10.06,23382.00
orca,s,6.24,2.46,5.46,5.59,6.64,763.00
ordem,s,4.18,5.25,4.02,4.71,12.44,252279.00
ordenação,s,3.69,3.52,3.63,6.33,8.54,5103.00
ordenança,s,5.19,2.65,4.49,8.00,6.19,487.00
orelha,s,6.75,4.45,5.97,3.91,8.79,6579.00
orfandade,s,3.28,2.57,3.58,7.93,6.09,443.00
organização,s,3.96,4.80,4.08,6.35,12.31,222206.00
organza,s,5.44,2.44,4.98,6.90,3.99,54.00
orgia,s,4.11,3.32,4.94,6.42,7.42,1677.00
orientação,s,3.88,4.86,3.92,6.45,10.98,58815.00
origem,s,3.84,4.85,3.89,5.46,12.22,202302.00
orizicultura,s,4.39,2.79,4.11,8.52,3.64,38.00
orla,s,5.36,3.51,5.20,5.69,8.91,7402.00
ornitologia,s,4.58,2.86,4.29,8.30,6.02,413.00
orogenia,s,3.92,2.24,3.80,8.31,4.71,111.00
orografia,s,4.29,2.69,4.20,6.82,5.65,283.00
orquestra,s,5.53,3.48,5.12,6.67,10.55,38045.00
orquídea,s,6.14,3.19,5.80,6.60,9.00,8141.00
ortodontia,s,4.91,2.63,4.48,7.78,5.06,158.00
ortoépia,s,4.27,2.65,4.24,7.30,2.40,11.00
ortografia,s,4.63,3.51,3.93,6.73,8.01,2997.00
ortopedia,s,5.33,3.06,5.00,7.03,7.15,1271.00
osga,s,4.54,2.42,4.19,8.40,3.74,42.00
osmose,s,4.17,3.02,3.99,7.45,6.48,655.00
ossada,s,5.43,2.61,4.80,8.31,6.25,518.00
ossatura,s,3.86,2.53,3.94,8.57,4.86,129.00
osteíte,s,4.35,2.59,4.09,7.95,3.43,31.00
ostentação,s,2.97,3.41,3.74,6.44,7.41,1648.00
osteologia,s,4.27,2.60,4.05,7.58,3.78,44.00
osteomielite,s,4.57,2.40,4.14,7.83,4.34,77.00
osteopatia,s,4.47,2.26,4.01,8.20,4.26,71.00
osteoporose,s,5.53,2.62,4.78,6.61,7.00,1092.00
ostra,s,6.24,3.43,5.85,5.10,6.73,841.00
ostreicultura,s,4.42,2.48,4.16,7.64,3.26,26.00
otalgia,s,4.36,2.71,4.37,7.26,2.40,11.00
ótica,s,3.80,3.64,3.83,8.41,8.18,3569.00
otite,s,4.64,2.49,4.37,7.27,5.48,240.00
otorrinolaringologia,s,5.00,2.69,4.69,6.39,6.02,411.00
ourela,s,4.53,2.32,4.35,7.87,4.49,89.00
ourivesaria,s,5.30,2.62,4.69,7.41,7.31,1494.00
ouvidoria,s,4.74,3.13,4.31,7.08,7.14,1263.00
ova,s,5.13,3.56,4.84,6.44,7.33,1528.00
ovação,s,4.78,3.13,4.75,6.48,7.19,1323.00
ovelha,s,6.37,3.54,5.91,4.25,8.22,3721.00
ovinocultura,s,4.35,2.47,4.01,6.92,4.39,81.00
ovulação,s,3.54,2.89,3.66,6.59,6.42,614.00
oxiurose,s,4.47,2.60,4.38,7.79,2.08,8.00
oxum,s,4.66,2.14,4.35,6.24,6.61,739.00
pá,s,5.77,3.83,5.17,3.87,8.27,3900.00
paca,s,4.99,2.61,4.39,5.90,6.20,494.00
pachorra,s,3.38,3.09,3.43,5.92,6.00,405.00
paciência,s,2.70,5.22,3.23,4.07,9.69,16162.00
paçoca,s,5.61,2.47,5.04,5.95,5.67,289.00
pacova,s,4.48,2.68,4.34,7.69,3.04,21.00
pada,s,4.80,2.60,4.45,6.16,4.36,78.00
padaria,s,6.40,4.15,5.67,5.18,8.26,3859.00
padiola,s,4.83,2.37,4.56,7.09,4.13,62.00
padronagem,s,5.05,2.95,4.68,6.62,4.91,136.00
padronização,s,3.02,3.16,3.01,8.81,7.81,2465.00
paga,s,4.46,5.17,4.49,4.84,10.46,34895.00
pagadoria,s,4.22,2.62,4.21,7.85,3.22,25.00
página,s,5.37,5.50,5.22,5.25,11.09,65674.00
pagodeira,s,4.46,2.68,4.41,7.61,3.33,28.00
paica,s,4.48,2.60,4.30,7.74,3.04,21.00
paina,s,4.94,2.67,4.69,7.94,4.29,73.00
paineira,s,5.30,2.23,4.62,7.21,4.88,131.00
paisagem,s,4.42,4.50,5.19,5.20,9.92,20367.00
paisana,s,5.27,3.65,4.94,6.74,7.31,1500.00
paixão,s,3.46,4.72,4.53,4.76,10.46,35015.00
paixonite,s,4.05,2.88,4.10,8.14,4.55,95.00
pajelança,s,3.99,2.47,3.83,8.39,4.33,76.00
pala,s,5.82,3.08,5.12,7.08,7.34,1541.00
palafita,s,4.50,2.46,4.30,8.49,4.20,67.00
palavra,s,4.27,5.50,4.37,4.07,11.72,123321.00
palavrada,s,4.54,2.62,4.49,7.48,2.30,10.00
paleobotânica,s,4.07,2.28,4.03,7.61,4.92,137.00
paleografia,s,4.09,2.07,3.28,9.12,5.68,294.00
paleontologia,s,4.55,2.62,4.21,8.18,7.18,1317.00
paleozoologia,s,4.42,2.71,4.26,7.71,2.89,18.00
palestra,s,4.87,4.21,4.72,5.99,9.39,12012.00
paleta,s,5.24,3.18,5.03,5.97,7.44,1707.00
palha,s,6.53,4.17,5.80,4.01,8.88,7169.00
palhaçada,s,3.49,4.01,4.06,6.45,7.10,1206.00
palheta,s,5.63,2.98,5.11,5.58,6.87,966.00
palhinha,s,5.89,2.76,5.23,5.25,7.18,1319.00
palhoça,s,5.38,2.54,5.01,6.20,7.23,1378.00
palhota,s,4.64,2.32,4.41,6.88,4.91,135.00
paliçada,s,4.96,2.29,4.74,7.54,5.77,319.00
palma,s,6.29,4.14,5.75,5.14,9.43,12412.00
palmada,s,5.30,3.65,5.43,5.75,6.23,508.00
palmas,s,5.32,3.87,5.11,4.87,9.53,13739.00
palmatória,s,4.86,3.51,4.68,5.30,6.11,452.00
palmeira,s,5.91,2.87,5.23,5.59,8.83,6856.00
palmilha,s,5.93,2.79,5.27,6.39,4.84,126.00
pálpebra,s,5.08,3.38,4.56,6.37,6.03,416.00
palpitação,s,3.92,3.21,4.22,7.45,5.01,150.00
pamonha,s,5.59,3.17,5.08,6.53,5.81,332.00
panaceia,s,3.94,3.02,3.77,7.75,6.41,610.00
panca,s,4.58,2.79,4.45,7.56,4.08,59.00
pança,s,5.02,3.46,4.73,6.04,6.79,890.00
pancada,s,5.50,4.72,5.36,4.62,8.58,5318.00
pancadaria,s,4.31,3.34,4.49,6.45,6.88,970.00
pancreatite,s,4.23,2.22,3.73,7.74,5.51,246.00
pândega,s,3.99,2.92,4.29,5.78,5.46,235.00
pandemia,s,4.41,2.56,4.21,8.36,7.33,1522.00
pandorga,s,4.80,2.80,4.61,6.41,3.64,38.00
pane,s,4.67,3.54,4.39,7.72,7.59,1974.00
panela,s,6.81,4.55,5.79,4.15,8.30,4009.00
panelada,s,5.32,2.27,4.57,7.05,4.19,66.00
panelinha,s,4.55,2.86,4.42,6.96,5.21,184.00
panificação,s,5.38,3.01,4.85,7.42,6.62,752.00
panificadora,s,5.48,2.24,4.94,7.85,5.54,254.00
panorâmica,s,4.31,3.53,4.57,7.52,8.18,3564.00
panqueca,s,5.99,3.35,5.52,4.79,6.61,740.00
pantalha,s,4.12,2.70,4.19,7.84,3.58,36.00
pantalonas,s,5.14,2.67,4.82,7.93,4.16,64.00
pantera,s,5.72,2.89,5.45,5.30,8.30,4028.00
pantomima,s,3.90,3.06,4.24,6.62,6.06,427.00
pantufa,s,5.45,2.97,5.02,6.51,4.09,60.00
panturrilha,s,5.04,3.39,4.31,7.45,7.51,1830.00
papada,s,4.75,3.13,4.60,6.82,5.15,173.00
papagaiada,s,3.70,2.94,4.00,8.03,3.33,28.00
papaia,s,5.90,3.15,5.49,6.14,5.25,190.00
papaína,s,4.83,2.70,4.44,7.81,4.26,71.00
papeira,s,4.95,2.43,4.75,5.97,5.08,161.00
papelada,s,4.73,4.04,4.50,5.81,7.63,2066.00
papelaria,s,6.12,3.12,5.42,5.30,7.00,1099.00
papeleira,s,5.50,2.50,4.68,6.63,5.46,236.00
papeleta,s,4.93,2.72,4.59,7.14,3.81,45.00
papila,s,4.64,2.04,4.07,8.51,5.04,155.00
papisa,s,3.84,2.45,3.90,8.14,4.70,110.00
papoula,s,5.59,2.68,5.03,7.15,5.70,300.00
páprica,s,5.11,3.18,4.69,6.25,5.35,211.00
paquera,s,4.34,3.59,4.74,5.84,6.49,661.00
parábola,s,3.96,3.24,3.87,7.73,7.77,2369.00
parada,s,4.71,4.96,4.67,4.44,10.67,43026.00
parafernália,s,3.98,3.59,4.34,7.74,6.33,559.00
parafina,s,6.07,3.02,4.97,5.52,6.22,503.00
paráfrase,s,3.75,2.71,3.57,8.00,5.72,304.00
paragem,s,4.59,3.85,4.44,6.38,9.02,8237.00
paralaxe,s,4.27,1.91,3.57,8.02,6.61,745.00
paralela,s,4.03,3.99,3.97,7.02,9.05,8543.00
paralisia,s,3.95,3.48,4.06,6.52,8.44,4622.00
paranóia,s,3.20,3.62,3.89,7.96,7.08,1193.00
paraplegia,s,3.94,2.06,3.64,8.62,4.68,108.00
parapsicologia,s,4.30,2.86,4.11,8.08,6.06,430.00
parasitologia,s,4.50,2.80,4.38,7.83,5.44,231.00
parca,s,3.48,3.33,3.62,7.86,6.04,419.00
parcela,s,3.60,4.17,3.60,6.82,9.74,16983.00
parceria,s,4.49,4.49,4.37,6.02,11.29,80032.00
parcimônia,s,3.52,2.89,3.55,7.45,5.83,339.00
parecença,s,3.32,3.18,3.81,7.24,4.88,132.00
parede,s,6.54,5.06,5.92,3.14,10.26,28520.00
parelha,s,4.49,2.61,4.55,6.15,6.50,667.00
parentela,s,3.66,2.80,3.79,7.37,5.00,148.00
paridade,s,4.42,3.12,3.95,8.04,8.44,4608.00
parideira,s,4.73,2.61,4.61,7.33,3.04,21.00
parlenda,s,4.36,2.68,4.34,7.42,3.26,26.00
parnaiba,s,5.10,2.21,4.60,7.39,4.08,59.00
paródia,s,3.79,3.60,4.16,6.23,8.55,5165.00
parola,s,4.41,2.76,4.27,7.98,5.43,228.00
paróquia,s,4.90,3.55,4.58,5.77,9.82,18402.00
parótida,s,4.24,2.46,3.83,7.96,4.67,107.00
parotidite,s,4.34,2.43,4.19,6.99,4.45,86.00
parra,s,5.46,2.55,5.04,6.83,6.73,838.00
parreira,s,5.16,3.28,4.66,5.42,8.64,5663.00
parte,s,3.73,5.60,4.03,4.45,13.86,1045872.00
parteira,s,5.51,3.37,5.11,5.67,6.95,1040.00
partenogênese,s,3.79,2.53,3.75,8.40,4.79,120.00
partição,s,4.41,2.84,4.24,6.05,7.80,2450.00
participação,s,3.50,4.98,3.65,6.21,12.25,209285.00
partícula,s,3.94,3.39,3.86,8.39,8.44,4615.00
particularidade,s,3.61,3.96,3.43,6.27,8.23,3763.00
partida,s,4.30,5.07,4.50,4.42,12.52,273898.00
partilha,s,3.39,4.28,3.44,6.61,9.83,18636.00
partitura,s,4.48,3.60,4.19,7.16,8.00,2972.00
páscoa,s,4.51,4.05,4.95,4.08,9.34,11363.00
pasmaceira,s,4.07,2.61,4.00,8.20,4.98,145.00
passa,s,4.31,5.47,4.59,4.44,11.96,155925.00
passada,s,4.34,4.78,4.47,4.38,11.57,105356.00
passadeira,s,5.65,3.45,5.53,5.82,7.04,1138.00
passagem,s,4.20,5.01,4.35,5.61,11.47,96165.00
passamanaria,s,4.63,2.02,4.27,7.94,3.87,48.00
passarada,s,4.64,2.63,4.75,7.69,4.38,80.00
passarela,s,5.74,3.97,5.56,5.52,8.40,4453.00
passeata,s,5.19,3.41,5.26,6.43,7.84,2544.00
pasta,s,5.89,4.92,5.00,5.26,10.29,29389.00
pastagem,s,5.03,3.32,4.56,6.66,7.31,1496.00
pastelaria,s,5.64,3.60,5.23,5.94,7.28,1449.00
pastilha,s,5.27,3.63,4.94,6.42,6.66,783.00
pata,s,6.13,3.82,5.55,4.32,7.86,2597.00
pataca,s,5.69,3.13,4.89,6.59,5.97,390.00
patacoada,s,4.12,2.69,4.17,7.53,3.22,25.00
patada,s,4.75,2.87,4.77,6.53,5.23,187.00
patativa,s,4.80,2.05,4.52,6.93,6.43,620.00
patela,s,5.29,2.84,4.45,6.06,5.37,215.00
pátena,s,4.60,2.70,4.48,7.27,2.48,12.00
paternidade,s,3.62,3.63,3.67,7.39,8.33,4132.00
patifaria,s,3.95,2.84,4.08,6.38,4.72,112.00
pátina,s,4.34,2.75,4.14,7.95,4.84,127.00
patinação,s,5.39,3.08,4.91,8.62,8.84,6917.00
patogenia,s,4.05,2.78,4.02,7.44,4.33,76.00
patola,s,4.76,2.07,4.45,6.90,3.53,34.00
patologia,s,3.89,3.82,3.94,7.69,8.04,3099.00
patota,s,4.25,2.73,4.34,7.74,4.19,66.00
patranha,s,4.23,2.84,4.18,7.67,4.51,91.00
pátria,s,3.59,4.00,4.36,5.29,9.67,15834.00
patricinha,s,4.59,2.95,4.90,8.60,6.05,422.00
patriotada,s,4.42,2.87,4.40,7.44,3.30,27.00
patroa,s,4.94,3.90,5.09,5.25,7.37,1582.00
patrona,s,3.91,2.38,4.12,7.44,6.31,552.00
patronagem,s,4.21,2.39,3.94,7.58,4.61,100.00
patrulha,s,4.66,3.13,4.65,5.70,8.91,7426.00
patuleia,s,4.44,2.32,4.29,6.44,5.88,358.00
patuscada,s,3.68,2.93,3.96,7.01,4.57,97.00
paulada,s,5.04,3.40,5.11,6.30,6.08,436.00
pauliceia,s,4.27,2.44,4.21,7.61,4.80,121.00
pausa,s,3.86,4.63,4.11,6.41,9.39,12009.00
pauta,s,4.49,3.94,3.70,7.77,9.69,16170.00
pavana,s,4.17,2.51,4.10,7.16,4.34,77.00
pavuna,s,4.82,2.57,4.52,6.82,6.55,702.00
paxiúba,s,5.04,2.56,4.69,7.57,3.30,27.00
peanha,s,4.97,2.42,4.70,7.95,4.49,89.00
peça,s,5.19,4.93,5.17,4.37,11.31,81473.00
pecha,s,3.15,2.50,3.11,7.52,6.14,463.00
pechincha,s,4.80,3.65,4.75,5.27,6.36,581.00
peçonha,s,4.30,2.84,4.29,7.47,5.48,241.00
pecuária,s,5.44,3.15,4.60,5.43,9.26,10482.00
