Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
aparafusar,v,4.65,2.95,4.50,6.19,3.47,32.00
aparar,v,5.34,3.39,5.13,5.56,6.40,600.00
aparelhar,v,4.65,2.66,4.53,7.04,5.12,168.00
aparentar,v,3.08,3.61,3.76,7.03,6.48,649.00
apartar,v,3.79,2.92,3.95,7.38,5.84,343.00
apascentar,v,5.16,2.37,4.75,6.45,5.19,179.00
apavorar,v,3.88,3.30,4.39,7.50,5.15,173.00
apaziguar,v,3.33,2.97,3.75,7.10,7.20,1340.00
apear,v,3.95,2.59,4.10,7.27,5.42,226.00
apedrejar,v,3.87,2.65,4.17,6.54,5.06,157.00
apegar-se,v,3.91,2.73,4.12,7.43,3.97,53.00
apelidar,v,3.71,2.76,3.89,7.29,6.09,441.00
apensar,v,3.49,2.82,3.50,7.95,4.37,79.00
apequenar,v,3.97,2.71,4.12,8.10,3.37,29.00
aperceber,v,3.24,3.29,3.72,7.75,6.65,771.00
aperfeiçoar,v,3.33,3.73,3.44,7.61,8.39,4410.00
apertar,v,4.41,4.58,4.55,4.79,8.62,5560.00
apetecer,v,4.45,3.80,4.80,5.25,6.11,449.00
apetrechar,v,3.71,2.81,3.89,7.87,4.67,107.00
apiedar,v,4.34,2.74,4.37,7.68,2.30,10.00
apimentar,v,3.55,2.74,3.79,6.97,5.82,337.00
apitar,v,4.59,3.33,4.48,5.47,7.44,1705.00
aplacar,v,2.62,2.61,3.29,6.90,6.34,569.00
aplainar,v,4.64,2.45,4.13,7.72,4.98,146.00
aplanar,v,3.85,2.36,3.53,7.76,4.93,139.00
aplaudir,v,4.26,3.63,4.12,5.46,7.76,2350.00
apoderar-se,v,3.87,2.46,4.06,7.79,6.71,824.00
apodrecer,v,4.73,3.61,5.09,5.46,6.94,1036.00
apoiar,v,3.69,4.50,3.66,5.92,11.17,70973.00
apontar,v,4.25,4.71,4.15,5.36,9.47,12918.00
apoquentar,v,3.60,2.80,3.86,7.23,4.11,61.00
apor,v,4.30,2.88,3.98,6.67,6.42,616.00
